date,symbol,sector,action,price,shares,notional,realized_pnl,cumulative_realized_pnl,avg_cost_per_share,position_shares_after,position_value_after,cash_after,equity_after
2022-11-07,OZON,Information technology,sell,1397.5,6,8639.85,482.37,1174.36,1316.96,612,855345.17,195355.31,1050700.48
2022-11-08,OZON,Information technology,sell,1396.0,6,8544.27,473.37,1647.73,1316.96,606,845882.82,203899.58,1049782.4
2022-11-09,OZON,Information technology,sell,1408.0,6,8531.54,545.37,2193.1,1316.96,600,844622.48,212431.12,1057053.6
2022-11-10,OZON,Information technology,sell,1438.0,6,8626.19,725.35,2918.45,1316.96,594,853992.51,221057.31,1075049.82
2022-11-11,OZON,Information technology,sell,1447.0,6,8593.37,779.34,3697.79,1316.96,588,850744.01,229650.68,1080394.69
2022-11-14,OZON,Information technology,sell,1518.5,6,8927.81,1208.3,4906.09,1316.96,582,883853.65,238578.5,1122432.15
2022-11-25,OZON,Information technology,buy,1423.5,34,47715.7,0.0,4906.09,1322.83,616,876273.93,190862.8,1067136.73
2022-11-28,OZON,Information technology,buy,1403.0,27,38172.56,0.0,4906.09,1326.2,643,901827.16,152690.24,1054517.4
2022-12-05,OZON,Information technology,sell,1459.5,6,9381.45,798.95,5705.05,1326.2,636,928763.06,162071.68,1090834.74
2022-12-12,OZON,Information technology,buy,1422.5,23,32414.34,0.0,5705.05,1329.55,659,937632.19,129657.35,1067289.53
2022-12-13,OZON,Information technology,buy,1420.0,18,25931.47,0.0,5705.05,1331.94,677,961915.8,103725.88,1065641.67
2022-12-14,OZON,Information technology,buy,1386.0,15,20745.18,0.0,5705.05,1333.11,692,959629.19,82980.7,1042609.89
2022-12-15,OZON,Information technology,buy,1361.5,12,16596.14,0.0,5705.05,1333.6,705,959262.18,66384.56,1025646.75
2022-12-16,OZON,Information technology,buy,1371.0,10,13276.91,0.0,5705.05,1334.12,714,979232.44,53107.65,1032340.09
2022-12-19,OZON,Information technology,buy,1330.0,8,10621.53,0.0,5705.05,1334.08,722,960569.85,42486.12,1003055.97
2023-01-03,OZON,Information technology,sell,1438.0,7,10385.71,726.45,6431.5,1334.08,715,1028185.3,52871.83,1081057.13
2023-01-04,OZON,Information technology,sell,1436.0,7,10267.55,712.45,7143.95,1334.08,708,1016487.73,63139.38,1079627.11
2023-01-05,OZON,Information technology,sell,1439.0,7,10186.11,733.45,7877.4,1334.08,701,1008425.2,73325.5,1081750.69
2023-01-11,OZON,Information technology,sell,1490.0,7,10441.65,1090.41,8967.81,1334.08,694,1033723.42,83767.15,1117490.57
2023-01-12,OZON,Information technology,sell,1498.0,7,10392.74,1146.41,10114.22,1334.08,687,1028880.88,94159.88,1123040.76
2023-01-13,OZON,Information technology,sell,1510.5,7,10374.66,1233.9,11348.12,1334.08,680,1027091.67,104534.55,1131626.22
2023-01-16,OZON,Information technology,sell,1582.0,7,10757.09,1734.35,13082.47,1334.08,673,1064952.29,115291.64,1180243.93
2023-01-20,OZON,Information technology,sell,1563.0,7,10521.62,1601.36,14683.83,1334.08,666,1041640.47,125813.26,1167453.73
2023-01-23,OZON,Information technology,sell,1625.0,7,10829.6,2035.32,16719.15,1334.08,660,1072129.95,136642.86,1208772.8
2023-01-24,OZON,Information technology,sell,1606.0,7,10595.94,1902.33,18621.48,1334.08,653,1048998.33,147238.8,1196237.13
2023-01-25,OZON,Information technology,sell,1638.0,7,10699.0,2126.31,20747.79,1334.08,647,1059200.92,157937.8,1217138.72
2023-01-26,OZON,Information technology,sell,1629.5,6,10537.04,1771.56,22519.35,1334.08,640,1043167.41,168474.84,1211642.25
2023-01-27,OZON,Information technology,sell,1654.5,6,10591.72,1921.54,24440.89,1334.08,634,1048580.1,179066.56,1227646.66
2023-01-30,OZON,Information technology,sell,1699.5,6,10771.0,2191.51,26632.41,1334.08,627,1066328.96,189837.56,1256166.52
2023-01-31,OZON,Information technology,sell,1710.0,6,10729.17,2254.51,28886.91,1334.08,621,1062187.88,200566.73,1262754.61
2023-02-01,OZON,Information technology,sell,1709.0,6,10615.67,2248.51,31135.42,1334.08,615,1050951.05,211182.4,1262133.44
2023-02-06,OZON,Information technology,sell,1714.0,6,10540.26,2278.51,33413.93,1334.08,609,1043485.54,221722.66,1265208.2
2023-02-09,OZON,Information technology,buy,1664.0,27,44344.53,0.0,33413.93,1348.03,635,1057390.01,177378.12,1234768.13
2023-02-14,OZON,Information technology,buy,1633.0,22,35475.62,0.0,33413.93,1357.52,657,1073166.66,141902.5,1215069.16
2023-02-15,OZON,Information technology,buy,1578.5,18,28380.5,0.0,33413.93,1363.38,675,1065731.12,113522.0,1179253.12
2023-02-16,OZON,Information technology,buy,1581.0,14,22704.4,0.0,33413.93,1367.78,690,1090123.41,90817.6,1180941.01
2023-02-17,OZON,Information technology,buy,1582.5,11,18163.52,0.0,33413.93,1371.13,701,1109321.2,72654.08,1181975.28
2023-02-20,OZON,Information technology,buy,1556.5,9,14530.82,0.0,33413.93,1373.48,710,1105626.2,58123.26,1163749.47
2023-02-24,OZON,Information technology,sell,1656.0,7,11763.04,1976.5,35390.43,1373.48,703,1164540.84,69886.3,1234427.15
2023-02-27,OZON,Information technology,sell,1673.5,7,11768.47,2098.99,37489.43,1373.48,696,1165078.81,81654.78,1246733.59
2023-02-28,OZON,Information technology,sell,1676.0,7,11668.19,2116.49,39605.92,1373.48,689,1155151.1,93322.97,1248474.07
2023-03-06,OZON,Information technology,sell,1701.5,7,11727.26,2294.97,41900.89,1373.48,682,1160999.23,105050.23,1266049.46
2023-03-14,OZON,Information technology,sell,1712.5,7,11685.05,2371.97,44272.86,1373.48,676,1156819.9,116735.28,1273555.18
2023-03-27,OZON,Information technology,sell,1740.0,7,11753.97,2564.45,46837.3,1373.48,669,1163642.61,128489.25,1292131.85
2023-03-28,OZON,Information technology,sell,1748.0,7,11689.93,2620.44,49457.74,1373.48,662,1157302.76,140179.18,1297481.93
2023-03-29,OZON,Information technology,sell,1737.5,7,11503.51,2546.95,52004.69,1373.48,655,1138847.49,151682.69,1290530.17
2023-03-30,OZON,Information technology,sell,1789.0,7,11726.03,2907.41,54912.1,1373.48,649,1160877.22,163408.72,1324285.94
2023-03-31,OZON,Information technology,sell,1781.0,6,11556.86,2444.07,57356.17,1373.48,642,1144129.18,174965.58,1319094.76
2023-04-03,OZON,Information technology,sell,1838.0,6,11807.46,2786.04,60142.21,1373.48,636,1168938.99,186773.04,1355712.04
2023-04-12,OZON,Information technology,buy,1716.5,22,37354.61,0.0,60142.21,1384.92,658,1129021.52,149418.43,1278439.95
2023-04-13,OZON,Information technology,buy,1692.5,18,29883.69,0.0,60142.21,1393.09,675,1143119.29,119534.75,1262654.04
2023-04-14,OZON,Information technology,buy,1683.0,14,23906.95,0.0,60142.21,1398.96,690,1160609.92,95627.8,1256237.72
2023-04-21,OZON,Information technology,sell,1752.5,7,12085.38,2473.58,62615.8,1398.96,683,1196452.28,107713.17,1304165.46
2023-04-28,OZON,Information technology,buy,1704.0,13,21542.63,0.0,62615.8,1404.64,695,1184883.4,86170.54,1271053.94
2023-05-02,OZON,Information technology,buy,1691.5,10,17234.11,0.0,62615.8,1408.69,706,1193425.58,68936.43,1262362.01
2023-05-03,OZON,Information technology,buy,1620.0,9,13787.29,0.0,62615.8,1411.35,714,1156766.56,55149.15,1211915.7
2023-05-04,OZON,Information technology,buy,1642.5,7,11029.83,0.0,62615.8,1413.59,721,1183862.59,44119.32,1227981.91
2023-05-05,OZON,Information technology,buy,1609.0,5,8823.86,0.0,62615.8,1414.93,726,1168540.7,35295.45,1203836.16
2023-05-08,OZON,Information technology,buy,1575.5,4,7059.09,0.0,62615.8,1415.8,731,1151270.33,28236.36,1179506.69
2023-05-16,OZON,Information technology,sell,1712.5,7,12513.81,2075.68,64691.47,1415.8,723,1238866.98,40750.17,1279617.15
2023-05-19,OZON,Information technology,sell,1717.5,7,12424.84,2110.67,66802.15,1415.8,716,1230059.27,53175.01,1283234.28
2023-05-22,OZON,Information technology,sell,1741.0,7,12468.9,2275.16,69077.3,1415.8,709,1234420.88,65643.91,1300064.79
2023-05-23,OZON,Information technology,sell,1742.0,7,12351.3,2282.16,71359.46,1415.8,702,1222778.61,77995.21,1300773.82
2023-05-24,OZON,Information technology,sell,1801.0,7,12641.93,2695.11,74054.57,1415.8,695,1251551.11,90637.14,1342188.25
2023-05-25,OZON,Information technology,sell,1801.0,7,12515.51,2695.11,76749.69,1415.8,688,1239035.6,103152.65,1342188.25
2023-05-26,OZON,Information technology,sell,1790.0,7,12314.68,2618.12,79367.81,1415.8,681,1219153.24,115467.33,1334620.57
2023-05-29,OZON,Information technology,sell,1803.5,7,12283.48,2712.61,82080.42,1415.8,674,1216064.49,127750.81,1343815.3
2023-06-06,OZON,Information technology,sell,1822.0,7,12285.39,2842.1,84922.52,1415.8,668,1216253.29,140036.2,1356289.48
2023-06-07,OZON,Information technology,sell,1946.5,7,12993.62,3713.51,88636.04,1415.8,661,1286368.09,153029.81,1439397.9
2023-06-08,OZON,Information technology,sell,1949.0,7,12880.2,3731.01,92367.05,1415.8,654,1275140.04,165910.01,1441050.05
2023-06-09,OZON,Information technology,sell,1949.5,7,12754.67,3734.51,96101.56,1415.8,648,1262712.49,178664.69,1441377.18
2023-06-13,OZON,Information technology,sell,2005.0,6,12986.6,3533.98,99635.53,1415.8,641,1285673.85,191651.29,1477325.14
2023-06-14,OZON,Information technology,sell,2032.5,6,13033.08,3698.96,103334.49,1415.8,635,1290274.7,204684.37,1494959.07
2023-06-15,OZON,Information technology,sell,2025.0,6,12855.14,3653.96,106988.46,1415.8,628,1272658.4,217539.5,1490197.91
2023-06-16,OZON,Information technology,sell,2013.0,6,12651.17,3581.97,110570.43,1415.8,622,1252465.56,230190.67,1482656.23
2023-06-19,OZON,Information technology,sell,2025.0,6,12599.32,3653.96,114224.39,1415.8,616,1247332.5,242789.99,1490122.49
2023-06-21,OZON,Information technology,sell,2042.0,6,12578.04,3755.95,117980.35,1415.8,610,1245225.9,255368.03,1500593.92
2023-06-23,OZON,Information technology,buy,1948.5,26,51073.61,0.0,117980.35,1437.49,636,1239282.55,204294.42,1443576.97
2023-07-03,OZON,Information technology,buy,1936.5,21,40858.88,0.0,117980.35,1453.37,657,1272509.21,163435.54,1435944.74
2023-07-04,OZON,Information technology,buy,1922.5,17,32687.11,0.0,117980.35,1465.16,674,1295996.66,130748.43,1426745.09
2023-07-11,OZON,Information technology,sell,2034.0,7,13711.61,3980.49,121960.84,1465.16,667,1357449.49,144460.04,1501909.53
2023-07-12,OZON,Information technology,sell,2036.5,7,13591.18,3997.99,125958.83,1465.16,661,1345526.75,158051.22,1503577.98
2023-07-13,OZON,Information technology,sell,2030.5,7,13415.63,3955.99,129914.82,1465.16,654,1328146.9,171466.85,1499613.74
2023-07-14,OZON,Information technology,sell,2039.0,7,13337.07,4015.49,133930.31,1465.16,648,1320369.67,184803.91,1505173.58
2023-07-17,OZON,Information technology,sell,2115.0,6,13695.84,3897.8,137828.11,1465.16,641,1355888.19,198499.75,1554387.95
2023-07-18,OZON,Information technology,sell,2110.5,6,13530.03,3870.8,141698.91,1465.16,635,1339473.29,212029.79,1551503.08
2023-07-21,OZON,Information technology,sell,2108.5,6,13382.04,3858.8,145557.72,1465.16,628,1324821.91,225411.83,1550233.74
2023-07-24,OZON,Information technology,sell,2239.0,6,14068.18,4641.73,150199.44,1465.16,622,1392750.06,239480.01,1632230.06
2023-07-25,OZON,Information technology,sell,2355.5,6,14652.18,5340.66,155540.1,1465.16,616,1450565.67,254132.19,1704697.85
2023-07-26,OZON,Information technology,sell,2421.5,6,14912.1,5736.62,161276.72,1465.16,610,1476297.73,269044.29,1745342.02
2023-07-27,OZON,Information technology,sell,2407.0,6,14674.58,5649.63,166926.34,1465.16,604,1452783.05,283718.86,1736501.91
2023-07-28,OZON,Information technology,sell,2434.0,6,14690.79,5811.61,172737.95,1465.16,598,1454388.54,298409.66,1752798.19
2023-07-31,OZON,Information technology,sell,2434.0,6,14543.89,5811.61,178549.56,1465.16,592,1439844.65,312953.54,1752798.19
2023-08-01,OZON,Information technology,sell,2419.0,6,14309.71,5721.62,184271.18,1465.16,586,1416661.62,327263.25,1743924.87
2023-08-02,OZON,Information technology,sell,2423.5,6,14192.97,5748.62,190019.79,1465.16,580,1405104.02,341456.22,1746560.25
2023-08-03,OZON,Information technology,sell,2679.0,6,15532.39,7281.46,197301.26,1465.16,574,1537706.18,356988.61,1894694.79
2023-08-04,OZON,Information technology,sell,2636.5,6,15133.12,7026.49,204327.74,1465.16,568,1498178.7,372121.73,1870300.43
2023-08-08,OZON,Information technology,sell,2720.0,6,15456.27,7527.44,211855.18,1465.16,563,1530170.91,387578.0,1917748.91
2023-08-09,OZON,Information technology,sell,2699.0,6,15183.57,7401.45,219256.63,1465.16,557,1503173.52,402761.57,1905935.09
2023-08-10,OZON,Information technology,sell,2769.5,6,15424.38,7824.41,227081.04,1465.16,551,1527013.21,418185.95,1945199.16
2023-08-11,OZON,Information technology,sell,2769.5,6,15270.13,7824.41,234905.45,1465.16,546,1511743.08,433456.08,1945199.16
2023-08-18,OZON,Information technology,sell,2784.0,5,15196.58,6592.83,241498.28,1465.16,540,1504461.39,448652.66,1953114.05
2023-08-21,OZON,Information technology,sell,2840.0,5,15347.24,6872.8,248371.09,1465.16,535,1519376.31,463999.89,1983376.2
2023-08-22,OZON,Information technology,sell,2960.5,5,15838.43,7475.24,255846.33,1465.16,530,1568004.37,479838.32,2047842.7
2023-09-07,OZON,Information technology,buy,2746.0,35,95967.66,0.0,255846.33,1544.24,565,1550363.88,383870.66,1934234.54
2023-09-08,OZON,Information technology,buy,2739.0,28,76774.13,0.0,255846.33,1600.47,593,1623185.89,307096.53,1930282.41
2023-09-11,OZON,Information technology,buy,2607.0,24,61419.31,0.0,255846.33,1639.51,616,1606379.37,245677.22,1852056.59
2023-09-20,OZON,Information technology,buy,2600.0,19,49135.44,0.0,255846.33,1668.12,635,1651201.56,196541.78,1847743.33
2023-09-21,OZON,Information technology,buy,2479.5,16,39308.36,0.0,255846.33,1687.98,651,1613983.07,157233.42,1771216.49
2023-10-10,OZON,Information technology,sell,2720.0,7,17705.32,7222.26,263068.59,1687.98,644,1752826.62,174938.74,1927765.36
2023-10-13,OZON,Information technology,sell,2728.0,6,17579.82,6238.5,269307.09,1687.98,638,1740402.17,192518.56,1932920.73
2023-10-16,OZON,Information technology,sell,2739.5,6,17477.39,6307.49,275614.59,1687.98,632,1730261.52,209995.95,1940257.47
2023-10-17,OZON,Information technology,sell,2738.0,6,17293.14,6298.5,281913.08,1687.98,625,1712020.99,227289.09,1939310.08
2023-10-19,OZON,Information technology,sell,2783.0,6,17401.59,6568.47,288481.55,1687.98,619,1722757.07,244690.68,1967447.75
2023-10-26,OZON,Information technology,buy,2691.5,18,48938.14,0.0,288481.55,1716.16,637,1715054.07,195752.54,1910806.62
2023-10-27,OZON,Information technology,buy,2680.0,15,39150.51,0.0,288481.55,1738.21,652,1746876.65,156602.03,1903478.69
2023-10-30,OZON,Information technology,buy,2646.5,12,31320.41,0.0,288481.55,1754.53,664,1756361.1,125281.63,1881642.73
2023-10-31,OZON,Information technology,buy,2598.0,10,25056.33,0.0,288481.55,1766.98,673,1749230.19,100225.3,1849455.5
2023-11-01,OZON,Information technology,buy,2616.0,8,20045.06,0.0,288481.55,1776.88,681,1781394.63,80180.24,1861574.87
2023-11-07,OZON,Information technology,sell,2675.0,7,18215.71,6284.97,294766.52,1776.88,674,1803355.63,98395.95,1901751.59
2023-11-08,OZON,Information technology,sell,2678.5,7,18057.15,6309.47,301075.99,1776.88,667,1787658.01,116453.11,1904111.12
2023-11-09,OZON,Information technology,sell,2681.0,7,17893.27,6326.97,307402.95,1776.88,661,1771433.27,134346.37,1905779.64
2023-11-16,OZON,Information technology,sell,2751.0,7,18176.85,6816.92,314219.87,1776.88,654,1799507.95,152523.22,1952031.16
2023-11-17,OZON,Information technology,sell,2756.0,7,18027.79,6851.91,321071.79,1776.88,648,1784750.8,170551.01,1955301.81
2023-11-20,OZON,Information technology,sell,2853.0,6,18475.67,6455.01,327526.8,1776.88,641,1829091.11,189026.67,2018117.78
2023-11-21,OZON,Information technology,sell,2990.5,6,19172.44,7279.93,334806.73,1776.88,635,1898071.5,208199.11,2106270.61
2023-11-22,OZON,Information technology,sell,2975.0,6,18882.34,7186.94,341993.66,1776.88,628,1869351.31,227081.45,2096432.76
2023-11-23,OZON,Information technology,sell,2944.0,6,18498.72,7000.96,348994.62,1776.88,622,1831373.63,245580.17,2076953.8
2023-12-01,OZON,Information technology,buy,2756.5,18,49116.03,0.0,348994.62,1804.23,640,1763851.57,196464.14,1960315.71
2023-12-04,OZON,Information technology,buy,2707.0,15,39292.83,0.0,348994.62,1824.75,654,1771469.94,157171.31,1928641.25
2023-12-06,OZON,Information technology,buy,2697.5,12,31434.26,0.0,348994.62,1840.34,666,1796687.37,125737.05,1922424.41
2023-12-07,OZON,Information technology,buy,2640.0,10,25147.41,0.0,348994.62,1852.07,676,1783536.53,100589.64,1884126.17
2023-12-11,OZON,Information technology,buy,2510.0,8,20117.93,0.0,348994.62,1859.7,684,1715828.79,80471.71,1796300.5
2023-12-27,OZON,Information technology,sell,2688.5,7,18378.51,5799.72,354794.34,1859.7,677,1819472.37,98850.22,1918322.59
2023-12-28,OZON,Information technology,sell,2799.0,7,18942.54,6573.15,361367.49,1859.7,670,1875311.93,117792.76,1993104.7
2023-12-29,OZON,Information technology,sell,2804.5,7,18789.97,6611.64,367979.13,1859.7,663,1860206.93,136582.73,1996789.66
2024-01-03,OZON,Information technology,sell,2825.5,7,18741.36,6758.63,374737.76,1859.7,657,1855394.74,155324.09,2010718.83
2024-01-04,OZON,Information technology,sell,2819.5,7,18514.55,6716.63,381454.4,1859.7,650,1832940.22,173838.64,2006778.87
2024-01-08,OZON,Information technology,sell,2819.5,7,18329.4,6716.63,388171.03,1859.7,644,1814610.82,192168.04,2006778.87
2024-01-09,OZON,Information technology,sell,2874.0,6,18496.87,6084.08,394255.11,1859.7,637,1831189.78,210664.91,2041854.69
2024-01-10,OZON,Information technology,sell,2907.0,6,18522.16,6282.06,400537.17,1859.7,631,1833693.81,229187.07,2062880.88
2024-01-11,OZON,Information technology,sell,2938.5,6,18535.64,6471.04,407008.21,1859.7,624,1835027.92,247722.71,2082750.63
2024-01-12,OZON,Information technology,sell,2931.0,6,18303.44,6426.05,413434.26,1859.7,618,1812040.89,266026.15,2078067.04
2024-01-15,OZON,Information technology,sell,3035.0,6,18763.37,7049.98,420484.24,1859.7,612,1857573.75,284789.52,2142363.27
2024-01-18,OZON,Information technology,buy,2829.0,20,56957.9,0.0,420484.24,1890.09,632,1788449.22,227831.62,2016280.84
2024-01-19,OZON,Information technology,buy,2827.5,16,45566.32,0.0,420484.24,1913.03,648,1833067.27,182265.29,2015332.56
2024-01-23,OZON,Information technology,buy,2794.5,13,36453.06,0.0,420484.24,1930.22,661,1848126.44,145812.23,1993938.67
2024-01-24,OZON,Information technology,buy,2793.5,10,29162.45,0.0,420484.24,1942.98,672,1876627.54,116649.79,1993277.33
2024-01-25,OZON,Information technology,buy,2785.0,8,23329.96,0.0,420484.24,1952.81,680,1894247.34,93319.83,1987567.17
2024-01-29,OZON,Information technology,sell,2886.0,7,19629.44,6530.29,427014.54,1952.81,673,1943314.12,112949.27,2056263.39
2024-01-30,OZON,Information technology,sell,2911.5,7,19604.85,6708.78,433723.31,1952.81,667,1940879.93,132554.11,2073434.05
2024-01-31,OZON,Information technology,sell,2909.5,7,19395.47,6694.78,440418.09,1952.81,660,1920151.21,151949.58,2072100.79
2024-02-08,OZON,Information technology,buy,2814.5,11,30389.92,0.0,440418.09,1966.86,671,1887845.01,121559.66,2009404.67
2024-02-12,OZON,Information technology,sell,2994.5,7,20085.81,7191.39,447609.48,1966.86,664,1988495.42,141645.48,2130140.9
2024-02-13,OZON,Information technology,sell,3154.5,7,20947.43,8311.28,455920.76,1966.86,657,2073795.86,162592.91,2236388.77
2024-02-15,OZON,Information technology,sell,3140.5,7,20645.92,8213.29,464134.05,1966.86,651,2043946.22,183238.83,2227185.05
2024-02-16,OZON,Information technology,sell,3128.0,7,20358.11,8125.8,472259.84,1966.86,644,2015452.68,203596.94,2219049.62
2024-02-27,OZON,Information technology,sell,3169.5,6,20421.92,7213.94,479473.79,1966.86,638,2021770.3,224018.86,2245789.16
2024-02-29,OZON,Information technology,sell,3216.0,6,20514.32,7492.92,486966.7,1966.86,632,2030917.54,244533.18,2275450.72
2024-03-01,OZON,Information technology,sell,3270.0,6,20650.19,7816.88,494783.59,1966.86,625,2044368.58,265183.37,2309551.95
2024-03-04,OZON,Information technology,sell,3397.5,6,21240.8,8581.81,503365.39,1966.86,619,2102839.4,286424.17,2389263.57
2024-03-14,OZON,Information technology,buy,3237.5,18,57284.83,0.0,503365.39,2002.55,637,2061094.27,229139.34,2290233.6
2024-03-18,OZON,Information technology,sell,3365.0,6,21422.65,8172.69,511538.08,2002.55,630,2120842.13,250561.98,2371404.11
2024-03-19,OZON,Information technology,sell,3390.0,6,21365.99,8322.67,519860.75,2002.55,624,2115232.77,271927.97,2387160.74
2024-03-20,OZON,Information technology,sell,3509.5,6,21897.96,9039.6,528900.35,2002.55,618,2167898.32,293825.93,2461724.25
2024-03-21,OZON,Information technology,sell,3540.5,6,21870.48,9225.58,538125.93,2002.55,612,2165177.25,315696.41,2480873.66
2024-03-25,OZON,Information technology,sell,3542.5,6,21664.0,9237.58,547363.51,2002.55,605,2144736.34,337360.41,2482096.75
2024-03-26,OZON,Information technology,sell,3630.5,6,21980.14,9765.53,557129.03,2002.55,599,2176034.05,359340.56,2535374.61
2024-03-27,OZON,Information technology,sell,3702.5,6,22191.89,10197.48,567326.51,2002.55,593,2196997.22,381532.45,2578529.67
2024-03-28,OZON,Information technology,sell,3794.0,6,22512.92,10746.43,578072.94,2002.55,587,2228778.77,404045.36,2632824.13
2024-03-29,OZON,Information technology,sell,3789.0,6,22258.42,10716.43,588789.37,2002.55,582,2203583.11,426303.78,2629886.89
2024-04-01,OZON,Information technology,sell,3874.5,6,22533.08,11229.38,600018.75,2002.55,576,2230774.59,448836.86,2679611.45
2024-04-02,OZON,Information technology,sell,3845.5,6,22140.78,11055.4,611074.15,2002.55,570,2191936.83,470977.63,2662914.47
2024-04-04,OZON,Information technology,sell,3858.0,6,21990.62,11130.39,622204.54,2002.55,564,2177071.22,492968.25,2670039.47
2024-04-05,OZON,Information technology,sell,3866.5,6,21818.68,11181.38,633385.93,2002.55,559,2160049.1,514786.93,2674836.03
2024-04-12,OZON,Information technology,buy,3713.0,28,102957.39,0.0,633385.93,2083.6,586,2177252.56,411829.54,2589082.1
2024-04-17,OZON,Information technology,sell,3882.5,6,22766.45,10791.05,644176.97,2083.6,581,2253878.6,434595.99,2688474.59
2024-04-18,OZON,Information technology,sell,3990.0,6,23162.85,11435.99,655612.96,2083.6,575,2293121.92,457758.84,2750880.76
2024-04-19,OZON,Information technology,sell,4086.0,6,23482.95,12011.93,667624.89,2083.6,569,2324811.83,481241.79,2806053.62
2024-04-22,OZON,Information technology,sell,4169.0,6,23720.36,12509.88,680134.77,2083.6,563,2348315.99,504962.15,2853278.14
2024-04-25,OZON,Information technology,sell,4164.5,6,23457.81,12482.88,692617.65,2083.6,558,2322323.41,528419.96,2850743.38
2024-04-26,OZON,Information technology,sell,4227.5,6,23574.55,12860.84,705478.49,2083.6,552,2333880.66,551994.52,2885875.17
2024-04-27,OZON,Information technology,sell,4256.5,6,23498.91,13034.83,718513.32,2083.6,547,2326391.81,575493.42,2901885.24
2024-04-29,OZON,Information technology,sell,4358.5,5,23821.4,11372.3,729885.62,2083.6,541,2358318.56,599314.82,2957633.38
2024-04-30,OZON,Information technology,sell,4364.0,5,23612.95,11399.8,741285.42,2083.6,536,2337681.58,622927.77,2960609.35
2024-05-03,OZON,Information technology,sell,4352.0,5,23312.53,11339.81,752625.23,2083.6,530,2307940.95,646240.3,2954181.26
2024-05-06,OZON,Information technology,sell,4443.0,5,23562.0,11794.76,764419.99,2083.6,525,2332637.83,669802.3,3002440.13
2024-05-07,OZON,Information technology,sell,4577.5,5,24032.52,12467.19,776887.18,2083.6,520,2379219.71,693834.82,3073054.53
2024-05-08,OZON,Information technology,sell,4530.0,5,23545.31,12229.72,789116.9,2083.6,515,2330985.61,717380.13,3048365.74
2024-05-13,OZON,Information technology,sell,4600.0,5,23670.05,12579.68,801696.58,2083.6,509,2343335.2,741050.19,3084385.39
2024-05-17,OZON,Information technology,sell,4628.0,5,23575.99,12719.67,814416.25,2083.6,504,2334022.99,764626.18,3098649.17
2024-05-20,OZON,Information technology,sell,4642.0,5,23410.84,12789.66,827205.91,2083.6,499,2317672.73,788037.01,3105709.74
2024-05-22,OZON,Information technology,sell,4673.0,5,23331.51,12944.65,840150.56,2083.6,494,2309819.0,811368.52,3121187.52
2024-05-24,OZON,Information technology,buy,4532.0,36,162273.7,0.0,840150.56,2248.39,530,2402397.76,649094.81,3051492.58
2024-05-27,OZON,Information technology,buy,4355.0,30,129818.96,0.0,840150.56,2360.26,560,2438389.63,519275.85,2957665.48
2024-05-30,OZON,Information technology,buy,4285.5,24,103855.17,0.0,840150.56,2438.73,584,2503331.35,415420.68,2918752.03
2024-05-31,OZON,Information technology,buy,4154.5,20,83084.14,0.0,840150.56,2495.09,604,2509893.16,332336.54,2842229.71
2024-06-03,OZON,Information technology,buy,4106.5,16,66467.31,0.0,840150.56,2536.35,620,2547361.83,265869.24,2813231.06
2024-06-07,OZON,Information technology,sell,4631.0,6,28727.22,12565.1,852715.66,2536.35,614,2843994.71,294596.45,3138591.17
