date,symbol,sector,action,price,shares,notional,realized_pnl,cumulative_realized_pnl,avg_cost_per_share,position_shares_after,position_value_after,cash_after,equity_after
2022-09-06,OZON,Information technology,buy,1443.5,139,200000.0,0.0,0.0,1443.64,139,200000.0,800000.0,1000000.0
2022-09-08,OZON,Information technology,buy,1428.0,112,160000.0,0.0,0.0,1436.73,251,357852.44,640000.0,997852.44
2022-09-09,OZON,Information technology,buy,1410.5,91,128000.0,0.0,0.0,1429.79,341,481467.0,512000.0,993467.0
2022-09-19,OZON,Information technology,sell,1488.0,3,5079.21,174.19,174.19,1429.79,338,502842.01,517079.21,1019921.23
2022-09-20,OZON,Information technology,buy,1325.5,78,103415.84,0.0,174.19,1410.3,416,551343.99,413663.37,965007.36
2022-09-21,OZON,Information technology,buy,1236.0,67,82732.67,0.0,174.19,1386.19,483,596848.99,330930.7,927779.69
2022-09-22,OZON,Information technology,buy,1254.0,53,66186.14,0.0,174.19,1373.16,536,671727.1,264744.56,936471.66
2022-09-23,OZON,Information technology,buy,1171.0,45,52948.91,0.0,174.19,1357.54,581,680215.61,211795.65,892011.25
2022-09-26,OZON,Information technology,buy,987.5,43,42359.13,0.0,174.19,1332.08,624,615982.45,169436.52,785418.97
2022-09-29,OZON,Information technology,buy,1030.5,33,33887.3,0.0,174.19,1316.96,657,676692.28,135549.21,812241.5
2022-10-17,OZON,Information technology,sell,1279.5,7,8402.02,-263.15,-88.95,1316.96,650,831799.61,143951.23,975750.84
2022-10-25,OZON,Information technology,sell,1339.0,7,8704.8,153.31,64.36,1316.96,644,861775.6,152656.03,1014431.64
2022-10-26,OZON,Information technology,sell,1328.0,6,8546.96,65.42,129.77,1316.96,637,846149.08,161202.99,1007352.08
2022-10-28,OZON,Information technology,sell,1323.5,6,8432.82,38.42,168.19,1316.96,631,834849.04,169635.81,1004484.85
2022-10-31,OZON,Information technology,sell,1338.0,6,8439.95,125.41,293.6,1316.96,624,835555.53,178075.77,1013631.29
2022-11-01,OZON,Information technology,sell,1383.5,6,8639.69,398.38,691.98,1316.96,618,855329.71,186715.46,1042045.18
