date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi,rsi_signal
2023-07-26,OZON,Information technology,sell,2421.5,6,14912.1,609.66,1476297.73,269044.29,1745342.02,96.17,sell
2023-07-27,OZON,Information technology,sell,2407.0,6,14674.58,603.57,1452783.05,283718.86,1736501.91,88.91,sell
2023-07-27,SBER,Finance,sell,247.95,65,16124.04,6437.91,1596279.99,260382.25,1856662.25,75.24,sell
2023-07-28,OZON,Information technology,sell,2434.0,6,14690.79,597.53,1454388.54,298409.66,1752798.19,90.73,sell
2023-07-28,SBER,Finance,sell,249.25,64,16046.49,6373.53,1588602.78,276428.75,1865031.53,83.03,sell
2023-07-31,OZON,Information technology,sell,2434.0,6,14543.89,591.55,1439844.65,312953.54,1752798.19,90.73,sell
2023-07-31,SBER,Finance,sell,267.4,64,17042.82,6309.8,1687239.56,293471.57,1980711.13,97.63,sell
2023-08-01,OZON,Information technology,sell,2419.0,6,14309.71,585.64,1416661.62,327263.25,1743924.87,76.95,sell
2023-08-01,RTGZ,Rosneft Oil Company,sell,31800.0,0,13411.7,41.75,1327758.32,98712.33,1426470.65,74.14,sell
2023-08-01,SBER,Finance,sell,268.5,63,16941.8,6246.7,1677238.53,310413.37,1987651.91,97.79,sell
2023-08-02,OZON,Information technology,sell,2423.5,6,14192.97,579.78,1405104.02,341456.22,1746560.25,78.33,sell
2023-08-02,RTGZ,Rosneft Oil Company,sell,32000.0,0,13361.09,41.34,1322747.91,112073.42,1434821.33,78.36,sell
2023-08-02,SBER,Finance,sell,268.57,62,16776.76,6184.23,1660899.05,327190.13,1988089.18,97.8,sell
2023-08-03,OZON,Information technology,sell,2679.0,6,15532.39,573.99,1537706.18,356988.61,1894694.79,96.24,sell
2023-08-03,RTGZ,Rosneft Oil Company,sell,32400.0,0,13392.82,40.92,1325889.44,125466.24,1451355.68,85.15,sell
2023-08-03,SBER,Finance,sell,269.11,62,16642.39,6122.39,1647596.14,343832.52,1991428.66,97.93,sell
2023-08-04,OZON,Information technology,sell,2636.5,6,15133.12,568.25,1498178.7,372121.73,1870300.43,80.71,sell
2023-08-07,RTGZ,Rosneft Oil Company,sell,33300.0,0,13627.2,40.51,1349092.5,139093.44,1488185.95,87.35,sell
2023-08-08,OZON,Information technology,sell,2720.0,6,15456.27,562.56,1530170.91,387578.0,1917748.91,82.11,sell
2023-08-09,OZON,Information technology,sell,2699.0,6,15183.57,556.94,1503173.52,402761.57,1905935.09,74.12,sell
2023-08-09,RTGZ,Rosneft Oil Company,sell,34800.0,0,14098.62,40.11,1395763.81,153192.07,1548955.88,84.24,sell
2023-08-10,OZON,Information technology,sell,2769.5,6,15424.38,551.37,1527013.21,418185.95,1945199.16,82.24,sell
2023-08-10,RTGZ,Rosneft Oil Company,sell,36300.0,0,14559.26,39.71,1441366.79,167751.33,1609118.11,90.16,sell
2023-08-11,OZON,Information technology,sell,2769.5,6,15270.13,545.85,1511743.08,433456.08,1945199.16,82.24,sell
2023-08-11,RTGZ,Rosneft Oil Company,sell,35700.0,0,14175.43,39.31,1403367.12,181926.75,1585293.87,74.5,sell
2023-08-14,RTGZ,Rosneft Oil Company,sell,35700.0,0,14033.67,38.92,1389333.44,195960.42,1585293.87,74.5,sell
2023-08-14,SBER,Finance,buy,260.45,264,68766.5,6386.42,1663342.76,275066.01,1938408.77,28.63,buy
2023-08-15,SBER,Finance,buy,260.42,211,55013.2,6597.67,1718164.37,220052.81,1938217.18,28.52,buy
2023-08-16,SBER,Finance,buy,256.02,172,44010.56,6769.57,1733145.2,176042.25,1909187.44,15.8,buy
2023-08-18,OZON,Information technology,sell,2784.0,5,15196.58,540.4,1504461.39,448652.66,1953114.05,71.15,sell
2023-08-21,OZON,Information technology,sell,2840.0,5,15347.24,534.99,1519376.31,463999.89,1983376.2,78.62,sell
2023-08-21,RTGZ,Rosneft Oil Company,sell,36200.0,0,14087.92,38.53,1394703.98,210048.34,1604752.32,73.97,sell
2023-08-22,OZON,Information technology,sell,2960.5,5,15838.43,529.64,1568004.37,479838.32,2047842.7,88.0,sell
2023-08-23,SBER,Finance,buy,256.4,137,35208.45,6906.89,1770926.08,140833.8,1911759.88,24.3,buy
2023-08-25,RTGZ,Rosneft Oil Company,sell,36700.0,0,14139.68,38.14,1399828.17,224188.02,1624016.19,77.18,sell
2023-08-28,SBER,Finance,sell,266.93,69,18436.56,6837.82,1825219.06,159270.35,1984489.41,79.76,sell
2023-08-29,RTGZ,Rosneft Oil Company,sell,37800.0,0,14417.85,37.76,1427367.02,238605.87,1665972.89,80.2,sell
2023-08-30,RTGZ,Rosneft Oil Company,sell,37600.0,0,14198.15,37.38,1405616.66,252804.02,1658420.68,73.27,sell
2023-09-01,RTGZ,Rosneft Oil Company,sell,38200.0,0,14280.47,37.01,1413766.25,267084.48,1680850.74,76.91,sell
2023-09-04,RTGZ,Rosneft Oil Company,sell,40800.0,0,15099.91,36.64,1494891.27,282184.4,1777075.66,91.07,sell
2023-09-04,SBER,Finance,sell,267.39,68,18283.64,6769.44,1810080.81,177554.0,1987634.81,79.33,sell
2023-09-05,RTGZ,Rosneft Oil Company,sell,40000.0,0,14655.8,36.27,1450923.88,296840.19,1747764.07,72.04,sell
2023-09-06,RTGZ,Rosneft Oil Company,sell,40500.0,0,14690.6,35.91,1454369.82,311530.8,1765900.62,76.36,sell
2023-09-07,OZON,Information technology,buy,2746.0,35,95967.66,564.59,1550363.88,383870.66,1934234.54,17.04,buy
2023-09-07,SBER,Finance,buy,258.79,137,35510.8,6906.66,1787374.42,142043.2,1929417.62,17.67,buy
