symbol,name,currency,date,close price
IMOEX,Moscow Exchange Index,RUB,2022-08-12,2147.33
IMOEX,Moscow Exchange Index,RUB,2022-08-15,2165.12
IMOEX,Moscow Exchange Index,RUB,2022-08-16,2208.33
IMOEX,Moscow Exchange Index,RUB,2022-08-17,2188.56
IMOEX,Moscow Exchange Index,RUB,2022-08-18,2194.31
IMOEX,Moscow Exchange Index,RUB,2022-08-19,2195.16
IMOEX,Moscow Exchange Index,RUB,2022-08-22,2228.11
IMOEX,Moscow Exchange Index,RUB,2022-08-23,2260.08
IMOEX,Moscow Exchange Index,RUB,2022-08-24,2248.22
IMOEX,Moscow Exchange Index,RUB,2022-08-25,2246.34
IMOEX,Moscow Exchange Index,RUB,2022-08-26,2268.89
IMOEX,Moscow Exchange Index,RUB,2022-08-29,2296.33
IMOEX,Moscow Exchange Index,RUB,2022-08-30,2306.62
IMOEX,Moscow Exchange Index,RUB,2022-08-31,2400.08
IMOEX,Moscow Exchange Index,RUB,2022-09-01,2445.77
IMOEX,Moscow Exchange Index,RUB,2022-09-02,2471.45
IMOEX,Moscow Exchange Index,RUB,2022-09-05,2488.44
IMOEX,Moscow Exchange Index,RUB,2022-09-06,2425.33
IMOEX,Moscow Exchange Index,RUB,2022-09-07,2401.57
IMOEX,Moscow Exchange Index,RUB,2022-09-08,2390.27
IMOEX,Moscow Exchange Index,RUB,2022-09-09,2426.06
IMOEX,Moscow Exchange Index,RUB,2022-09-12,2449.65
IMOEX,Moscow Exchange Index,RUB,2022-09-13,2446.89
IMOEX,Moscow Exchange Index,RUB,2022-09-14,2435.89
IMOEX,Moscow Exchange Index,RUB,2022-09-15,2446.59
IMOEX,Moscow Exchange Index,RUB,2022-09-16,2435.18
IMOEX,Moscow Exchange Index,RUB,2022-09-19,2430.54
IMOEX,Moscow Exchange Index,RUB,2022-09-20,2215.67
IMOEX,Moscow Exchange Index,RUB,2022-09-21,2130.71
IMOEX,Moscow Exchange Index,RUB,2022-09-22,2190.87
IMOEX,Moscow Exchange Index,RUB,2022-09-23,2089.87
IMOEX,Moscow Exchange Index,RUB,2022-09-26,1933.35
IMOEX,Moscow Exchange Index,RUB,2022-09-27,1953.46
IMOEX,Moscow Exchange Index,RUB,2022-09-28,1963.86
IMOEX,Moscow Exchange Index,RUB,2022-09-29,1953.77
IMOEX,Moscow Exchange Index,RUB,2022-09-30,1957.31
IMOEX,Moscow Exchange Index,RUB,2022-10-03,2041.96
IMOEX,Moscow Exchange Index,RUB,2022-10-04,2046.42
IMOEX,Moscow Exchange Index,RUB,2022-10-05,2029.88
IMOEX,Moscow Exchange Index,RUB,2022-10-06,2020.63
IMOEX,Moscow Exchange Index,RUB,2022-10-07,1944.75
IMOEX,Moscow Exchange Index,RUB,2022-10-10,1916.97
IMOEX,Moscow Exchange Index,RUB,2022-10-11,1949.46
IMOEX,Moscow Exchange Index,RUB,2022-10-12,1951.65
IMOEX,Moscow Exchange Index,RUB,2022-10-13,1955.2
IMOEX,Moscow Exchange Index,RUB,2022-10-14,1950.98
IMOEX,Moscow Exchange Index,RUB,2022-10-17,2012.85
IMOEX,Moscow Exchange Index,RUB,2022-10-18,2032.4
IMOEX,Moscow Exchange Index,RUB,2022-10-19,1978.4
IMOEX,Moscow Exchange Index,RUB,2022-10-20,2025.51
IMOEX,Moscow Exchange Index,RUB,2022-10-21,2043.71
IMOEX,Moscow Exchange Index,RUB,2022-10-24,2063.95
IMOEX,Moscow Exchange Index,RUB,2022-10-25,2130.65
IMOEX,Moscow Exchange Index,RUB,2022-10-26,2120.58
IMOEX,Moscow Exchange Index,RUB,2022-10-27,2164.64
IMOEX,Moscow Exchange Index,RUB,2022-10-28,2167.7
IMOEX,Moscow Exchange Index,RUB,2022-10-31,2166.61
IMOEX,Moscow Exchange Index,RUB,2022-11-01,2174.35
IMOEX,Moscow Exchange Index,RUB,2022-11-02,2173.84
IMOEX,Moscow Exchange Index,RUB,2022-11-03,2155.92
IMOEX,Moscow Exchange Index,RUB,2022-11-07,2208.78
IMOEX,Moscow Exchange Index,RUB,2022-11-08,2207.2
