date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi_6,rsi_6_signal,rsi_12,rsi_12_signal,rsi_24,rsi_24_signal
2023-04-06,MRKV,Electric Power,sell,0.04,242489.0,9699.54,24006365.83,960254.63,359379.34,1319633.97,70.77,sell,77.87,sell,78.28,sell
2023-04-07,KRSB,Electric Power,sell,11.86,890.0,10557.07,88123.93,1045149.8,388056.23,1433206.03,99.6,sell,97.53,sell,91.4,sell
2023-04-07,MRKV,Electric Power,sell,0.04,240064.0,9602.55,23766302.17,950652.09,368981.89,1319633.97,68.56,hold,76.72,sell,77.63,sell
2023-04-10,KRSB,Electric Power,sell,12.67,881.0,11165.3,87242.69,1105364.88,399221.53,1504586.42,99.81,sell,98.56,sell,94.06,sell
2023-04-10,MRKV,Electric Power,sell,0.04,237663.0,9506.52,23528639.15,941145.57,378488.41,1319633.97,82.38,sell,82.28,sell,80.73,sell
2023-04-11,KRSB,Electric Power,sell,13.28,872.0,11585.83,86370.26,1146997.09,410807.36,1557804.46,99.88,sell,98.95,sell,95.26,sell
2023-04-11,MRKV,Electric Power,sell,0.04,235286.0,9411.46,23293352.76,931734.11,387899.86,1319633.97,58.42,hold,69.25,hold,73.37,sell
2023-04-12,KRSB,Electric Power,sell,12.78,864.0,11038.12,85506.56,1092773.84,421845.48,1514619.33,70.68,sell,78.42,sell,80.72,sell
2023-04-12,MRKV,Electric Power,sell,0.04,232934.0,9317.34,23060419.23,922416.77,397217.2,1319633.97,56.5,hold,68.18,hold,72.77,sell
2023-04-13,KRSB,Electric Power,sell,12.44,855.0,10637.02,84651.49,1053064.6,432482.5,1485547.09,55.29,hold,67.22,hold,72.53,sell
2023-04-17,KRSB,Electric Power,sell,12.75,847.0,10793.07,83804.98,1068513.49,443275.56,1511789.06,64.54,hold,67.97,hold,71.26,sell
2023-04-17,MRKV,Electric Power,sell,0.04,230604.0,9224.17,22829815.04,913192.6,406441.37,1319633.97,60.84,hold,65.77,hold,70.43,sell
2023-04-18,KRSB,Electric Power,sell,12.84,838.0,10760.56,82966.93,1065295.38,454036.12,1519331.51,67.0,hold,69.21,hold,71.98,sell
2023-04-24,MRKV,Electric Power,sell,0.04,228298.0,9131.93,22601516.89,904060.68,415573.3,1319633.97,73.78,sell,67.85,hold,69.8,hold
2023-04-25,KRSB,Electric Power,sell,13.02,830.0,10802.29,82137.26,1069427.14,464838.42,1534265.55,75.46,sell,70.39,sell,71.31,sell
2023-04-25,MRKV,Electric Power,sell,0.04,226015.0,9040.61,22375501.72,895020.07,424613.9,1319633.97,91.31,sell,82.02,sell,77.01,sell
2023-04-26,KRSB,Electric Power,sell,13.33,821.0,10948.9,81315.89,1083940.79,475787.31,1559728.1,85.98,sell,76.32,sell,74.29,sell
2023-04-26,MRKV,Electric Power,sell,0.04,223755.0,8950.2,22151746.7,886069.87,433564.1,1319633.97,98.03,sell,93.81,sell,88.2,sell
