date,avg_symbol_capital,total_capital
2022-08-12,0.0,3000000.0
2022-08-13,0.0,3000000.0
2022-08-14,0.0,3000000.0
2022-08-15,0.0,3000000.0
2022-08-16,0.0,3000000.0
2022-08-17,0.0,3000000.0
2022-08-18,0.0,3000000.0
2022-08-19,0.0,3000000.0
2022-08-20,0.0,3000000.0
2022-08-21,0.0,3000000.0
2022-08-22,0.0,3000000.0
2022-08-23,0.0,3000000.0
2022-08-24,0.0,3000000.0
2022-08-25,0.0,3000000.0
2022-08-26,-3.37,2999989.9
2022-08-27,-3.37,2999989.9
2022-08-28,-3.37,2999989.9
2022-08-29,-3.37,2999989.9
2022-08-30,-3.57,2999989.3
2022-08-31,-3.76,2999988.71
2022-09-01,-3.96,2999988.13
2022-09-02,-4.15,2999987.55
2022-09-03,-4.15,2999987.55
2022-09-04,-4.15,2999987.55
2022-09-05,-4.34,2999986.98
2022-09-06,-4.34,2999986.98
2022-09-07,-4.34,2999986.98
2022-09-08,-4.34,2999986.98
2022-09-09,-4.34,2999986.98
2022-09-10,-4.34,2999986.98
2022-09-11,-4.34,2999986.98
2022-09-12,-4.53,2999986.41
2022-09-13,-4.53,2999986.41
2022-09-14,-4.72,2999985.85
2022-09-15,-4.9,2999985.3
2022-09-16,-4.9,2999985.3
2022-09-17,-4.9,2999985.3
2022-09-18,-4.9,2999985.3
2022-09-19,-4.9,2999985.3
2022-09-20,-11.34,2999965.98
2022-09-21,-834.29,2997497.12
2022-09-22,-1995.7,2994012.9
2022-09-23,-2451.09,2992646.73
2022-09-24,-2451.09,2992646.73
2022-09-25,-2451.09,2992646.73
2022-09-26,-40831.77,2877504.7
2022-09-27,-40361.25,2878916.26
2022-09-28,-40362.03,2878913.9
2022-09-29,-40884.21,2877347.36
2022-09-30,-41071.85,2876784.46
2022-10-01,-41071.85,2876784.46
2022-10-02,-41071.85,2876784.46
2022-10-03,-41071.85,2876784.46
2022-10-04,-41071.85,2876784.46
2022-10-05,-41071.85,2876784.46
2022-10-06,-41071.85,2876784.46
2022-10-07,-41072.25,2876783.25
2022-10-08,-41072.25,2876783.25
2022-10-09,-41072.25,2876783.25
2022-10-10,-33990.87,2898027.39
2022-10-11,-33990.87,2898027.39
2022-10-12,-33990.87,2898027.39
2022-10-13,-33991.1,2898026.71
2022-10-14,-34376.67,2896870.0
2022-10-15,-34376.67,2896870.0
2022-10-16,-34376.67,2896870.0
2022-10-17,-33245.36,2900263.91
2022-10-18,-33245.36,2900263.91
2022-10-19,-31215.02,2906354.93
2022-10-20,-31215.02,2906354.93
2022-10-21,-30673.75,2907978.76
2022-10-22,-30673.75,2907978.76
2022-10-23,-30673.75,2907978.76
2022-10-24,-28553.28,2914340.15
2022-10-25,-25615.13,2923154.6
2022-10-26,-25277.41,2924167.77
2022-10-27,-24616.87,2926149.4
2022-10-28,-22841.25,2931476.24
2022-10-29,-22841.25,2931476.24
2022-10-30,-22841.25,2931476.24
2022-10-31,-20633.47,2938099.58
2022-11-01,-19093.7,2942718.89
2022-11-02,-18643.09,2944070.74
2022-11-03,-18203.08,2945390.75
2022-11-04,-18203.08,2945390.75
2022-11-05,-18203.08,2945390.75
2022-11-06,-18203.08,2945390.75
2022-11-07,-19635.46,2941093.61
2022-11-08,-18518.61,2944444.18
2022-11-09,-17838.21,2946485.36
2022-11-10,-17838.21,2946485.36
2022-11-11,-17705.84,2946882.49
2022-11-12,-17705.84,2946882.49
2022-11-13,-17705.84,2946882.49
2022-11-14,-17705.84,2946882.49
2022-11-15,-17705.84,2946882.49
2022-11-16,-17705.84,2946882.49
2022-11-17,-17705.84,2946882.49
2022-11-18,-17705.84,2946882.49
2022-11-19,-17705.84,2946882.49
2022-11-20,-17705.84,2946882.49
2022-11-21,-17705.84,2946882.49
2022-11-22,-17705.84,2946882.49
2022-11-23,37910.49,3113731.46
2022-11-24,37910.16,3113730.48
2022-11-25,37909.83,3113729.5
2022-11-26,37909.83,3113729.5
2022-11-27,37909.83,3113729.5
2022-11-28,39072.26,3117216.79
2022-11-29,41210.65,3123631.96
2022-11-30,41210.34,3123631.01
2022-12-01,41210.02,3123630.07
2022-12-02,41209.72,3123629.15
2022-12-03,41209.72,3123629.15
2022-12-04,41209.72,3123629.15
2022-12-05,41209.72,3123629.15
2022-12-06,41208.77,3123626.32
2022-12-07,41208.02,3123624.06
2022-12-08,41207.42,3123622.25
2022-12-09,-13526.92,2959419.24
2022-12-10,-13526.92,2959419.24
2022-12-11,-13526.92,2959419.24
2022-12-12,-14874.19,2955377.43
2022-12-13,-14517.12,2956448.64
2022-12-14,-14517.12,2956448.64
2022-12-15,-14517.12,2956448.64
2022-12-16,42628.33,3127884.99
2022-12-17,42628.33,3127884.99
2022-12-18,42628.33,3127884.99
2022-12-19,42628.0,3127883.99
2022-12-20,42628.0,3127883.99
2022-12-21,44249.1,3132747.3
2022-12-22,44249.1,3132747.3
2022-12-23,44249.1,3132747.3
2022-12-24,44249.1,3132747.3
2022-12-25,44249.1,3132747.3
2022-12-26,44249.1,3132747.3
2022-12-27,44248.77,3132746.31
2022-12-28,44248.77,3132746.31
2022-12-29,43798.32,3131394.95
2022-12-30,44672.49,3134017.48
2022-12-31,44672.49,3134017.48
2023-01-01,44672.49,3134017.48
2023-01-02,44672.49,3134017.48
2023-01-03,45732.92,3137198.76
2023-01-04,45732.6,3137197.79
2023-01-05,45732.28,3137196.83
2023-01-06,45732.28,3137196.83
2023-01-07,45732.28,3137196.83
2023-01-08,45732.28,3137196.83
2023-01-09,46143.4,3138430.21
2023-01-10,46541.97,3139625.92
2023-01-11,49151.74,3147455.22
2023-01-12,48402.33,3145206.99
2023-01-13,49397.87,3148193.62
2023-01-14,49397.87,3148193.62
2023-01-15,49397.87,3148193.62
2023-01-16,49222.22,3147666.65
2023-01-17,48968.29,3146904.86
2023-01-18,48968.29,3146904.86
2023-01-19,48968.29,3146904.86
2023-01-20,49539.2,3148617.59
2023-01-21,49539.2,3148617.59
