date,symbol,sector,action,price,shares,notional,realized_pnl,cumulative_realized_pnl,avg_cost_per_share,position_shares_after,position_value_after,cash_after,equity_after
2025-02-13,KRSB,Electric Power,buy,16.12,5340,86080.69,0.0,227187.56,16.79,87118,1404334.44,344322.76,1748657.2
2025-02-14,KRSB,Electric Power,buy,15.9,4331,68864.55,0.0,227187.56,16.65,91449,1454033.14,275458.2,1729491.34
2025-02-18,KRSB,Electric Power,buy,15.9,3465,55091.64,0.0,227187.56,16.57,94914,1509124.78,220366.56,1729491.34
2025-02-25,KRSB,Electric Power,sell,16.48,949,15641.75,-87.26,227100.3,16.57,93964,1548532.87,236008.31,1784541.18
2025-03-06,KRSB,Electric Power,sell,16.4,940,15410.16,-161.63,226938.67,16.57,93025,1525605.56,251418.47,1777024.03
2025-03-11,KRSB,Electric Power,sell,17.1,930,15907.23,491.03,227429.7,16.57,92094,1574815.64,267325.7,1842141.34
2025-03-21,KRSB,Electric Power,sell,16.9,921,15563.97,302.09,227731.79,16.57,91174,1540832.78,282889.66,1823722.44
2025-03-25,KRSB,Electric Power,buy,16.34,3463,56577.93,0.0,227731.79,16.55,94636,1546353.53,226311.73,1772665.26
2025-03-27,KRSB,Electric Power,buy,16.12,2808,45262.35,0.0,227731.79,16.51,97444,1570795.94,181049.38,1751845.32
2025-03-28,KRSB,Electric Power,buy,15.96,2269,36209.88,0.0,227731.79,16.48,99713,1591414.79,144839.51,1736254.29
2025-04-03,KRSB,Electric Power,buy,15.62,1855,28967.9,0.0,227731.79,16.43,101567,1586480.37,115871.61,1702351.97
2025-04-04,KRSB,Electric Power,buy,15.5,1495,23174.32,0.0,227731.79,16.4,103062,1597466.62,92697.28,1690163.91
2025-04-07,KRSB,Electric Power,buy,14.62,1268,18539.46,0.0,227731.79,16.34,104330,1525311.2,74157.83,1599469.03
2025-04-08,KRSB,Electric Power,buy,14.92,994,14831.57,0.0,227731.79,16.31,105325,1571441.9,59326.26,1630768.16
2025-04-09,KRSB,Electric Power,buy,14.5,818,11865.25,0.0,227731.79,16.28,106143,1539070.85,47461.01,1586531.86
2025-04-16,KRSB,Electric Power,sell,15.88,1061,16855.48,-422.01,227309.78,16.28,105081,1668692.46,64316.49,1733008.95
2025-04-17,KRSB,Electric Power,sell,16.2,1051,17023.19,-81.74,227228.04,16.28,104031,1685295.32,81339.67,1766634.99
2025-04-25,KRSB,Electric Power,sell,16.02,1040,16665.7,-268.07,226959.97,16.28,102990,1649904.12,98005.37,1747909.49
2025-04-28,KRSB,Electric Power,sell,16.4,1030,16890.4,125.87,227085.83,16.28,101960,1672150.02,114895.78,1787045.79
2025-05-05,KRSB,Electric Power,sell,16.88,1020,17210.91,614.2,227700.03,16.28,100941,1703880.08,132106.69,1835986.77
2025-05-06,KRSB,Electric Power,sell,17.02,1009,17180.12,748.82,228448.85,16.28,99931,1700831.67,149286.8,1850118.48
2025-05-07,KRSB,Electric Power,sell,17.32,999,17308.11,1041.07,229489.92,16.28,98932,1713502.97,166594.92,1880097.88
2025-05-08,KRSB,Electric Power,sell,17.44,989,17253.75,1149.32,230639.23,16.28,97943,1708121.06,183848.66,1891969.73
2025-05-12,KRSB,Electric Power,sell,17.7,979,17335.86,1392.21,232031.44,16.28,96963,1716250.31,201184.53,1917434.84
2025-05-13,KRSB,Electric Power,sell,18.02,970,17472.79,1689.78,233721.22,16.28,95994,1729805.78,218657.31,1948463.09
2025-05-14,KRSB,Electric Power,sell,18.56,960,17816.42,2190.71,235911.93,16.28,95034,1763825.93,236473.73,2000299.67
2025-05-15,KRSB,Electric Power,sell,18.6,950,17676.27,2205.88,238117.81,16.28,94083,1749951.01,254150.01,2004101.02
2025-05-16,KRSB,Electric Power,sell,18.58,941,17480.69,2166.17,240283.98,16.28,93143,1730588.65,271630.7,2002219.35
2025-05-19,KRSB,Electric Power,sell,19.3,931,17976.51,2813.4,243097.38,16.28,92211,1779674.77,289607.21,2069281.99
2025-05-20,KRSB,Electric Power,sell,19.44,922,17925.84,2915.27,246012.65,16.28,91289,1774658.49,307533.06,2082191.54
2025-05-21,KRSB,Electric Power,sell,19.76,913,18038.71,3178.94,249191.59,16.28,90376,1785832.26,325571.77,2111404.03
2025-05-22,KRSB,Electric Power,sell,19.6,904,17713.72,3002.98,252194.57,16.28,89472,1753658.36,343285.49,2096943.85
2025-05-23,KRSB,Electric Power,sell,19.76,895,17679.74,3116.27,255310.85,16.28,88578,1750294.2,360965.23,2111259.43
2025-05-26,KRSB,Electric Power,sell,19.54,886,17308.07,2890.03,258200.88,16.28,87692,1713499.05,378273.3,2091772.35
2025-05-27,KRSB,Electric Power,sell,19.54,877,17134.99,2860.68,261061.55,16.28,86815,1696364.06,395408.29,2091772.35
2025-05-28,KRSB,Electric Power,sell,19.5,868,16928.91,2796.6,263858.16,16.28,85947,1675962.55,412337.2,2088299.75
2025-05-30,KRSB,Electric Power,sell,19.58,859,16828.38,2836.32,266694.48,16.28,85087,1666009.91,429165.59,2095175.49
2025-06-04,KRSB,Electric Power,sell,19.98,851,17000.45,3150.27,269844.74,16.28,84236,1683044.39,446166.03,2129210.42
2025-06-05,KRSB,Electric Power,sell,20.48,842,17251.63,3537.91,273382.66,16.28,83394,1707910.99,463417.66,2171328.65
2025-06-06,KRSB,Electric Power,sell,20.54,834,17129.15,3554.33,276936.99,16.28,82560,1695785.49,480546.81,2176332.3
2025-06-10,KRSB,Electric Power,sell,20.94,826,17288.1,3850.6,280787.59,16.28,81735,1711521.46,497834.9,2209356.36
2025-06-11,KRSB,Electric Power,sell,20.92,817,17098.87,3792.31,284579.9,16.28,80917,1692787.9,514933.77,2207721.67
2025-06-13,KRSB,Electric Power,sell,20.78,809,16814.59,3641.93,288221.83,16.28,80108,1664644.89,531748.36,2196393.26
2025-06-17,KRSB,Electric Power,buy,19.14,5556,106349.67,0.0,288221.83,16.99,85664,1639617.4,425398.69,2065016.09
2025-06-18,KRSB,Electric Power,buy,16.48,5163,85079.74,0.0,288221.83,16.89,90827,1496829.72,340318.95,1837148.67
2025-06-19,KRSB,Electric Power,buy,16.24,4191,68063.79,0.0,288221.83,16.81,95018,1543095.02,272255.16,1815350.18
2025-06-20,KRSB,Electric Power,buy,16.3,3341,54451.03,0.0,288221.83,16.76,98359,1603247.14,217804.13,1821051.27
2025-06-23,KRSB,Electric Power,buy,16.34,2666,43560.83,0.0,288221.83,16.73,101025,1650742.32,174243.3,1824985.62
2025-06-24,KRSB,Electric Power,buy,16.14,2159,34848.66,0.0,288221.83,16.7,103184,1665386.05,139394.64,1804780.7
2025-06-25,KRSB,Electric Power,buy,16.16,1725,27878.93,0.0,288221.83,16.68,104909,1695328.66,111515.71,1806844.37
2025-06-26,KRSB,Electric Power,buy,16.2,1377,22303.14,0.0,288221.83,16.66,106286,1721828.16,89212.57,1811040.73
2025-06-27,KRSB,Electric Power,buy,16.24,1099,17842.51,0.0,288221.83,16.65,107384,1743922.1,71370.06,1815292.16
2025-06-30,KRSB,Electric Power,buy,16.46,867,14274.01,0.0,288221.83,16.65,108252,1781820.67,57096.05,1838916.72
2025-07-01,KRSB,Electric Power,sell,17.0,1083,18402.77,381.16,288602.99,16.65,107169,1821873.75,75498.81,1897372.56
2025-07-08,KRSB,Electric Power,buy,16.26,929,15099.76,0.0,288602.99,16.64,108098,1757668.42,60399.05,1818067.47
2025-07-09,KRSB,Electric Power,buy,16.06,752,12079.81,0.0,288602.99,16.63,108850,1748128.69,48319.24,1796447.93
2025-07-10,KRSB,Electric Power,buy,16.02,603,9663.85,0.0,288602.99,16.62,109453,1753438.55,38655.39,1792093.94
2025-07-17,KRSB,Electric Power,sell,17.0,1095,18607.03,413.25,289016.24,16.62,108359,1842095.55,57262.42,1899357.97
2025-07-18,KRSB,Electric Power,sell,16.96,1084,18377.61,365.75,289381.99,16.62,107275,1819383.6,75640.03,1895023.63
2025-07-21,KRSB,Electric Power,sell,17.3,1073,18558.57,726.82,290108.8,16.62,106202,1837298.52,94198.6,1931497.12
2025-07-22,KRSB,Electric Power,sell,17.76,1062,18861.52,1207.84,291316.64,16.62,105140,1867290.03,113060.12,1980350.14
2025-07-23,KRSB,Electric Power,sell,18.22,1051,19156.55,1678.74,292995.38,16.62,104089,1896497.97,132216.66,2028714.64
2025-07-24,KRSB,Electric Power,sell,18.72,1041,19485.42,2183.21,295178.59,16.62,103048,1929056.95,151702.08,2080759.04
2025-07-25,KRSB,Electric Power,sell,19.0,1030,19579.1,2448.52,297627.11,16.62,102017,1938331.26,171281.19,2109612.45
2025-07-28,KRSB,Electric Power,sell,18.64,1020,19016.05,2057.58,299684.69,16.62,100997,1882588.94,190297.24,2072886.18
2025-07-29,KRSB,Electric Power,sell,18.92,1010,19108.68,2320.18,302004.87,16.62,99987,1891759.49,209405.92,2101165.41
2025-07-30,KRSB,Electric Power,sell,19.0,1000,18997.58,2377.2,304382.07,16.62,98987,1880760.89,228403.5,2109164.39
2025-07-31,KRSB,Electric Power,sell,19.56,990,19361.94,2907.77,307289.84,16.62,97998,1916831.9,247765.44,2164597.34
2025-08-01,KRSB,Electric Power,sell,19.8,980,19403.51,3113.58,310403.42,16.62,97018,1920947.8,267168.96,2188116.75
2025-08-04,KRSB,Electric Power,sell,20.24,970,19636.36,3508.56,313911.98,16.62,96047,1943999.17,286805.31,2230804.48
2025-08-05,KRSB,Electric Power,sell,19.98,960,19190.27,3222.82,317134.8,16.62,95087,1899836.58,305995.58,2205832.16
2025-08-06,KRSB,Electric Power,sell,20.02,951,19036.4,3230.64,320365.44,16.62,94136,1884603.66,325031.98,2209635.64
2025-08-07,KRSB,Electric Power,sell,19.9,941,18733.07,3083.76,323449.2,16.62,93195,1854574.26,343765.05,2198339.31
2025-08-08,KRSB,Electric Power,sell,19.9,932,18545.74,3054.27,326503.46,16.62,92263,1836028.52,362310.8,2198339.31
2022-08-12,MRKV,Electric Power,init,0.03,16666667,500000.0,0.0,0.0,0.0,16666667,500000.0,500000.0,1000000.0
2022-08-23,MRKV,Electric Power,sell,0.03,166667,5000.0,0.0,0.0,0.0,16500000,495000.0,505000.0,1000000.0
2022-08-26,MRKV,Electric Power,buy,0.03,3366667,101000.0,0.0,0.0,0.03,19866667,596000.0,404000.0,1000000.0
2022-08-30,MRKV,Electric Power,sell,0.03,198667,5960.0,-1.19,-1.19,0.03,19668000,590040.0,409960.0,1000000.0
2022-08-31,MRKV,Electric Power,sell,0.03,196680,5900.4,-1.18,-2.37,0.03,19471320,584139.6,415860.4,1000000.0
2022-09-01,MRKV,Electric Power,sell,0.03,194713,5841.4,-1.17,-3.54,0.03,19276607,578298.2,421701.8,1000000.0
2022-09-02,MRKV,Electric Power,sell,0.03,192766,5782.98,-1.16,-4.7,0.03,19083841,572515.22,427484.78,1000000.0
2022-09-05,MRKV,Electric Power,sell,0.03,190838,5725.15,-1.15,-5.84,0.03,18893002,566790.07,433209.93,1000000.0
2022-09-12,MRKV,Electric Power,sell,0.03,188930,5667.9,-1.13,-6.98,0.03,18704072,561122.17,438877.83,1000000.0
2022-09-14,MRKV,Electric Power,sell,0.03,187041,5611.22,-1.12,-8.1,0.03,18517032,555510.95,444489.05,1000000.0
2022-09-15,MRKV,Electric Power,sell,0.03,185170,5555.11,-1.11,-9.21,0.03,18331861,549955.84,450044.16,1000000.0
2022-09-20,MRKV,Electric Power,buy,0.03,3000294,90008.83,0.0,-9.21,0.03,21332156,639964.67,360035.33,1000000.0
